NA,NA
NA,NA
45.25,NA
44.5,NA
44.5,NA
44.5,NA
42.75,NA
NA,NA
NA,NA
40,NA
40.25,NA
40.25,NA
39.75,NA
40.25,NA
NA,NA
NA,NA
43.5,NA
42.25,NA
38,NA
41.25,NA
45.75,NA
NA,NA
NA,NA
49,NA
48.75,NA
52.25,NA
50.75,NA
51,NA
NA,NA
NA,NA
47.75,NA
50,NA
49.75,NA
49.5,NA
49.5,NA
NA,NA
NA,NA
NA,NA
49.5,NA
50.25,NA
50.75,NA
50,NA
NA,NA
NA,NA
50,NA
51.5,NA
51.25,NA
51.75,NA
51,NA
NA,NA
NA,NA
50.25,NA
50.75,NA
48.75,NA
48.75,32
49.5,NA
NA,NA
NA,NA
48.5,NA
49.5,NA
51.25,NA
51,NA
50,NA
NA,NA
NA,NA
49.25,NA
46.5,NA
49,NA
50.75,NA
49,NA
NA,NA
NA,NA
49.25,NA
49.5,32
47.75,32
48,32
51.75,32
NA,NA
NA,NA
51.5,32
48,32
47.5,32
49.5,32
50.75,32
NA,NA
NA,NA
49.25,32
47.25,32
43.25,32
42.75,29.75
45.5,29.75
NA,NA
NA,NA
44.75,29.75
43.25,29.75
44.25,29.75
44.75,29.75
49,29.75
NA,NA
NA,NA
48.75,29.75
47,29.75
47,29.75
48.75,29.75
47.5,29.75
NA,NA
NA,NA
48.75,29.75
49.25,29.75
50.75,29.75
49.25,29.75
45,29.75
NA,NA
NA,NA
44.5,29.75
48,29.75
45.75,29.75
NA,NA
42.75,29.5
NA,NA
NA,NA
43,29.5
43.25,29
42.5,29
43.25,29
44,29
NA,NA
NA,NA
44,29
41.5,27.5
39,24
41.25,24
38.75,24
NA,NA
NA,NA
40,24
41.5,23.5
43.5,23.5
45,23.5
44.25,23.5
NA,NA
NA,NA
46,23.5
46.75,23.5
46.5,23.5
45,23.5
43.25,23.5
NA,NA
NA,NA
NA,NA
41.5,23.5
42.5,23.5
42,23.5
40,23.5
NA,NA
NA,NA
NA,NA
40.5,23.5
41,23.5
42.75,23.5
44.25,23.5
NA,NA
NA,NA
43.5,23.5
43,23.5
42.75,23.5
44.5,23.5
43.5,23.5
NA,NA
NA,NA
NA,NA
44.25,23.5
43.75,23.5
46.25,23.5
46,23.5
NA,NA
NA,NA
46.25,23.5
47.75,23.5
48,23.5
44,23.5
44.75,23.5
NA,NA
NA,NA
44,23.5
45.5,23.5
45.5,23.5
44,23.5
42,23.5
NA,NA
NA,NA
42.25,23.5
43,23.5
40.5,23.5
38,23.5
38,23.5
NA,NA
NA,NA
39.25,23.5
39.25,23.5
35,19
29.25,18.25
30.75,19.5
NA,NA
NA,NA
NA,NA
31.75,19.75
30.75,19
28.75,18
28.25,18.5
NA,NA
NA,NA
29,18
28.75,18.5
29,19.75
29.75,18.25
28.75,19
NA,NA
NA,NA
29.75,19.75
29,18.5
29.75,19.25
30.75,19.25
33.5,20.25
NA,NA
NA,NA
33.75,19.25
32,20.25
32.25,19.75
33,20.5
33.75,21
NA,NA
NA,NA
34,20.75
34.25,20.75
36,21.25
36.5,21
36.5,20.75
NA,NA
NA,NA
37.75,22
39.5,22.5
40.25,23
38,23
NA,NA
NA,NA
NA,NA
36.5,21.75
36,21.25
37.25,21.75
37,21.75
38.75,23.25
NA,NA
NA,NA
38.25,22.25
36,21.25
36.25,21
37.5,22.25
38.5,24
NA,NA
NA,NA
38.5,21.75
37,21.75
37.25,21.75
34.5,20.5
34.5,20.25
NA,NA
NA,NA
34.25,20.5
34.5,20.5
34,20.5
33.75,20
33.25,19.75
NA,NA
NA,NA
33.75,20
33,19.25
33,19.25
34.75,20.25
37,21.25
NA,NA
NA,NA
37,21.75
37.25,21.75
36.5,20.75
34.75,20
32.25,18.25
NA,NA
NA,NA
32.5,19.5
32.75,19
33.25,20
35.5,21
37.25,21.75
NA,NA
NA,NA
38.75,22.5
37,21.75
39.5,23
39.75,23.75
42.5,24.75
NA,NA
NA,NA
NA,NA
39.75,23.5
36.25,22.25
37.75,22.5
37,21.75
NA,NA
NA,NA
36.5,22
35.5,21.75
36,21.75
39,23.75
36.75,22.5
NA,NA
NA,NA
36.75,22.5
36.25,22.5
38.5,23.5
38.75,24
38.25,23.75
NA,NA
NA,NA
36.75,23
38.25,23
NA,NA
34.5,21.75
39.5,24.25
NA,NA
NA,NA
39.75,24.25
37.5,23
37.75,23
38.75,23.25
36.5,23.25
NA,NA
NA,NA
32.75,21.25
34.25,22
33.25,21.5
NA,NA
34.25,22
NA,NA
NA,NA
29,19.75
26,17.75
26,18.25
27.75,19
23,17
NA,NA
NA,NA
17.25,14.25
18.5,14.5
18.25,14.75
19.75,15.25
22.5,17.25
NA,NA
NA,NA
25.25,17.75
27,18.75
25.5,18.25
25.25,18
23.25,17.25
NA,NA
NA,NA
20,15.75
17.25,14
14.5,13
13.25,12.25
11.5,11.25
NA,NA
NA,NA
16,13.5
12.75,12.25
13,12.25
11.5,11.75
11,11.5
NA,NA
NA,NA
5.5,9.75
4,8
5,8.75
5.75,9.25
3,7
NA,NA
NA,NA
4.5,8
4.5,7.75
6.5,8.75
4.5,8
6,8.75
NA,NA
NA,NA
6,9.25
7,9.75
5.25,9
7,9.75
7.25,9.75
NA,NA
NA,NA
NA,NA
9,10.5
10,10.75
9.75,10.75
8.5,10.25
NA,NA
NA,NA
9.5,11
7.5,10
7.75,10.25
7.75,9.75
6,8.75
NA,NA
NA,NA
5.75,9.25
6,9.25
6.75,9.25
6.75,9.75
8,10.5
NA,NA
NA,NA
12.75,12.25
12.25,12
12.5,11.75
11.5,11.5
16,13.5
NA,NA
NA,NA
16,13.25
16.75,13.5
16.25,13.5
15.5,13
14.75,12.5
NA,NA
NA,NA
12.25,11.75
9.5,10.25
8,9.5
6.5,8.5
5.5,8
NA,NA
NA,NA
4,7.5
5.5,8.25
4.25,7.5
4.25,7.5
3,7.25
NA,NA
NA,NA
2.75,7.25
3.25,6.25
4.5,7.25
5.5,7.75
3,6.75
NA,NA
NA,NA
3.75,6.75
4.75,7
5.75,7.5
5.75,8
5.75,8
NA,NA
NA,NA
6.25,8
7.5,8.75
10,10.5
13.5,12
15.75,13.25
NA,NA
NA,NA
15.25,13
14.75,12.5
15,12.75
12,11.25
14,12.25
NA,NA
NA,NA
16,13.25
12.5,11.5
10,10.5
7,9.25
9.75,10.5
NA,NA
NA,NA
9.75,10.75
8.75,10.75
9.25,10.75
NA,NA
9.75,10.75
NA,NA
NA,NA
11,11.5
14.5,13.25
13,12.25
15.25,13.5
15,13.25
NA,NA
NA,NA
12,11.75
10.75,11
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
,NA
,NA
,NA
,NA
,NA
,NA
,NA
,NA
,NA
,NA
,NA
,NA
,NA
,NA
,NA
,NA
,NA
,NA
,NA
,NA
,NA
,NA
,NA
,NA
,NA
,NA
,NA
,NA
,NA
,NA
,NA
